filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,bc_not_found,perc_bc_not_found,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon,skipped_reads
/mnt/dawnccle2/processed_data/reprocess_250221/K562//K562_K700E-H04_S262_umi_dedup_fine_grained_idx.csv,K562_K700E-H04_S262_umi_dedup_fine_grained_idx.csv,K562_K700E-H04_S262,K562K700E,rep1,rep1,K562K700E-rep1,41505772,38942448,1372050,0.0330568480933206,4796792,0.173841153685578,991311,2133110,21823074,22796168,NA
/mnt/dawnccle2/processed_data/reprocess_250221/K562//K562_K700E-H05_S263_umi_dedup_fine_grained_idx.csv,K562_K700E-H05_S263_umi_dedup_fine_grained_idx.csv,K562_K700E-H05_S263,K562K700E,rep2,rep2,K562K700E-rep2,42735524,40181661,1424120,0.0333240327180731,4882770,0.171866104682968,1081675,2126914,22515348,23527544,NA
/mnt/dawnccle2/processed_data/reprocess_250221/K562//K562_K700E-H06_S264_umi_dedup_fine_grained_idx.csv,K562_K700E-H06_S264_umi_dedup_fine_grained_idx.csv,K562_K700E-H06_S264,K562K700E,rep3,rep3,K562K700E-rep3,36274891,34056439,1205193,0.0332238903212693,4119836,0.168458779603311,783987,1751516,19487690,20336212,NA
/mnt/dawnccle2/processed_data/reprocess_250221/K562//K562_WT-H01_S259_umi_dedup_fine_grained_idx.csv,K562_WT-H01_S259_umi_dedup_fine_grained_idx.csv,K562_WT-H01_S259,K562WT,rep1,rep1,K562WT-rep1,73478733,69240298,2394265,0.0325844622280028,8923925,0.167558570558664,937840,3747362,42687228,44334616,NA
/mnt/dawnccle2/processed_data/reprocess_250221/K562//K562_WT-H02_S260_umi_dedup_fine_grained_idx.csv,K562_WT-H02_S260_umi_dedup_fine_grained_idx.csv,K562_WT-H02_S260,K562WT,rep2,rep2,K562WT-rep2,92707992,87286144,3114571,0.0335954962760924,10631253,0.165063173006325,1197988,4206468,51716963,53775924,NA
/mnt/dawnccle2/processed_data/reprocess_250221/K562//K562_WT-H03_S261_umi_dedup_fine_grained_idx.csv,K562_WT-H03_S261_umi_dedup_fine_grained_idx.csv,K562_WT-H03_S261,K562WT,rep3,rep3,K562WT-rep3,53634921,50372548,1792567,0.0334216396067778,6208418,0.165054827452884,623672,2346936,30223488,31405859,NA
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_MEL202-rep1_S41_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep1_S41_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep1_S41,splicelib_MEL202,rep1,rep1,splicelib_MEL202-rep1,43544139,40234104,1460301,0.0335361091879667,4339816,0.168053261666808,808211,2167862,20370401,21484235,11433980
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_MEL202-rep2_S42_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep2_S42_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep2_S42,splicelib_MEL202,rep2,rep2,splicelib_MEL202-rep2,48023387,44420880,1612025,0.0335674991020521,4829735,0.167692377668122,905685,2532217,22726161,23971425,12181818
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_MEL202-rep3_S43_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep3_S43_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep3_S43,splicelib_MEL202,rep3,rep3,splicelib_MEL202-rep3,32328255,29868391,1084312,0.0335406906435253,3205964,0.168448629027661,608328,1726142,15002720,15826331,8501626
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_MEL202-rep4_S44_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep4_S44_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep4_S44,splicelib_MEL202,rep4,rep1,splicelib_MEL202-rep1,3270986,2993615,107348,0.0328182389041103,399043,0.181947301155081,61683,191492,1696715,1794136,547261
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_MEL202-rep5_S45_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep5_S45_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep5_S45,splicelib_MEL202,rep5,rep2,splicelib_MEL202-rep2,21576536,19760121,707210,0.0327768090299574,2581504,0.181867868530905,423835,1261041,10973833,11612889,3880852
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_MEL202-rep6_S46_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep6_S46_umi_dedup_fine_grained_idx.csv,splicelib_MEL202-rep6_S46,splicelib_MEL202,rep6,rep3,splicelib_MEL202-rep3,27071728,24728640,887980,0.0328010092299982,3293346,0.183755612522056,563795,1593654,13816707,14629078,4648767
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_sgCh3-rep1_S53_umi_dedup_fine_grained_idx.csv,splicelib_sgCh3-rep1_S53_umi_dedup_fine_grained_idx.csv,splicelib_sgCh3-rep1_S53,splicelib_sgCh3,rep1,rep1,splicelib_sgCh3-rep1,32257427,29955615,1071818,0.0332270146654908,3326220,0.166626006465222,462160,1183295,15983029,16635970,8347970
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_sgCh3-rep2_S54_umi_dedup_fine_grained_idx.csv,splicelib_sgCh3-rep2_S54_umi_dedup_fine_grained_idx.csv,splicelib_sgCh3-rep2_S54,splicelib_sgCh3,rep2,rep2,splicelib_sgCh3-rep2,30641967,28512586,1021676,0.0333423764864703,3149935,0.166811230556889,440813,1175291,15115783,15733296,8013251
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_sgCh3-rep3_S55_umi_dedup_fine_grained_idx.csv,splicelib_sgCh3-rep3_S55_umi_dedup_fine_grained_idx.csv,splicelib_sgCh3-rep3_S55,splicelib_sgCh3,rep3,rep3,splicelib_sgCh3-rep3,23071048,21425414,768279,0.0333005678805748,2353144,0.166573852082269,351971,860545,11309767,11773587,6086167
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_U2AF1_S34F-rep1_S50_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_S34F-rep1_S50_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_S34F-rep1_S50,splicelib_U2AF1_S34F,rep1,rep1,splicelib_U2AF1_S34F-rep1,29379841,27307975,979527,0.0333401055506053,2871564,0.16726234772272,552303,1179448,13722060,14296460,8408200
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_U2AF1_S34F-rep2_S51_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_S34F-rep2_S51_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_S34F-rep2_S51,splicelib_U2AF1_S34F,rep2,rep2,splicelib_U2AF1_S34F-rep2,41118566,38256726,1371621,0.0333577051300865,4050943,0.168186699744818,748977,1703293,19226010,20035046,11718467
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_U2AF1_S34F-rep3_S52_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_S34F-rep3_S52_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_S34F-rep3_S52,splicelib_U2AF1_S34F,rep3,rep3,splicelib_U2AF1_S34F-rep3,32843064,30533494,1094037,0.0333110516119933,3216150,0.167540605083016,595991,1309455,15336563,15980092,9431806
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_U2AF1_WT-rep1_S47_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_WT-rep1_S47_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_WT-rep1_S47,splicelib_U2AF1_WT,rep1,rep1,splicelib_U2AF1_WT-rep1,35627099,33102209,1184842,0.0332567633418595,3637337,0.166941878766171,570820,1400450,17440659,18150707,9342895
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//splicelib_U2AF1_WT-rep2_S48_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_WT-rep2_S48_umi_dedup_fine_grained_idx.csv,splicelib_U2AF1_WT-rep2_S48,splicelib_U2AF1_WT,rep2,rep2,splicelib_U2AF1_WT-rep2,28688967,26695542,956268,0.0333322562642287,2922183,0.167300578977188,467167,1110481,13972716,14544481,7651230
