filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,bc_not_found,perc_bc_not_found,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
U:/processed_data/reprocess_250221/nova240826/MUT-plx317_U2AF1_Q157A-rep2-D02_S35_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_Q157A-rep2-D02_S35_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_Q157A-rep2-D02_S35,MUT-plx317_U2AF1_Q157A,rep2,rep2,MUT-plx317_U2AF1_Q157A-rep2,29951502,27902249,988386,0.0329995470677898,3149590,0.177037107986009,385796,989343,13979892,14640974
U:/processed_data/reprocess_250221/nova240826/MUT-plx317_U2AF1_Q157A-rep3-D03_S36_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_Q157A-rep3-D03_S36_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_Q157A-rep3-D03_S36,MUT-plx317_U2AF1_Q157A,rep3,rep3,MUT-plx317_U2AF1_Q157A-rep3,27979404,26044895,920838,0.0329112800258361,2985323,0.177281018386774,361873,942229,13233904,13854173
U:/processed_data/reprocess_250221/nova240826/MUT-plx317_U2AF1_WT-rep1-D04_S37_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_WT-rep1-D04_S37_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_WT-rep1-D04_S37,MUT-plx317_U2AF1_WT,rep1,rep1,MUT-plx317_U2AF1_WT-rep1,35323989,32913487,1167231,0.0330435784022014,3650825,0.177716080693102,496868,1058545,16137082,16892195
U:/processed_data/reprocess_250221/nova240826/MUT-plx317_U2AF1_WT-rep2-D05_S38_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_WT-rep2-D05_S38_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_WT-rep2-D05_S38,MUT-plx317_U2AF1_WT,rep2,rep2,MUT-plx317_U2AF1_WT-rep2,29773047,27716826,976469,0.0327970798554814,3160461,0.177835348262796,526983,966011,13962834,14611377
U:/processed_data/reprocess_250221/nova240826/MUT-plx317_U2AF1_WT-rep3-D06_S39_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_WT-rep3-D06_S39_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_WT-rep3-D06_S39,MUT-plx317_U2AF1_WT,rep3,rep3,MUT-plx317_U2AF1_WT-rep3,23123223,21523328,756759,0.0327272283798846,2452148,0.177422048264567,393775,745798,10866653,11368840
U:/processed_data/reprocess_250221/nova240826/MUT-sgCh3-1-rep1-E07_S52_umi_dedup_fine_grained_idx.csv,MUT-sgCh3-1-rep1-E07_S52_umi_dedup_fine_grained_idx.csv,MUT-sgCh3-1-rep1-E07_S52,MUT-sgCh3-1,rep1,rep1,MUT-sgCh3-1-rep1,21372353,19880614,706972,0.0330788098062951,2166581,0.178380572434913,410856,596636,9535162,9979254
U:/processed_data/reprocess_250221/nova240826/MUT-sgCh3-1-rep2-E08_S53_umi_dedup_fine_grained_idx.csv,MUT-sgCh3-1-rep2-E08_S53_umi_dedup_fine_grained_idx.csv,MUT-sgCh3-1-rep2-E08_S53,MUT-sgCh3-1,rep2,rep2,MUT-sgCh3-1-rep2,30685323,28607022,1017259,0.0331513212358886,3095295,0.178492333893825,477506,752956,13613364,14246038
U:/processed_data/reprocess_250221/nova240826/MUT-sgCh3-1-rep3-E09_S54_umi_dedup_fine_grained_idx.csv,MUT-sgCh3-1-rep3-E09_S54_umi_dedup_fine_grained_idx.csv,MUT-sgCh3-1-rep3-E09_S54,MUT-sgCh3-1,rep3,rep3,MUT-sgCh3-1-rep3,24344192,22675970,805248,0.0330776227857552,2498327,0.180184063716516,437876,641077,10861945,11367089
U:/processed_data/reprocess_250221/nova240826/MUT-sgRBM10-rep1-E01_S46_umi_dedup_fine_grained_idx.csv,MUT-sgRBM10-rep1-E01_S46_umi_dedup_fine_grained_idx.csv,MUT-sgRBM10-rep1-E01_S46,MUT-sgRBM10,rep1,rep1,MUT-sgRBM10-rep1,26027576,24253411,849985,0.0326570941527555,2810425,0.174570187473694,423459,717153,12707294,13288687
U:/processed_data/reprocess_250221/nova240826/MUT-sgRBM10-rep2-E02_S47_umi_dedup_fine_grained_idx.csv,MUT-sgRBM10-rep2-E02_S47_umi_dedup_fine_grained_idx.csv,MUT-sgRBM10-rep2-E02_S47,MUT-sgRBM10,rep2,rep2,MUT-sgRBM10-rep2,34376608,32014180,1124322,0.0327060191627981,3689438,0.175379407245195,646217,944572,16585926,17347456
U:/processed_data/reprocess_250221/nova240826/MUT-sgRBM10-rep3-E03_S48_umi_dedup_fine_grained_idx.csv,MUT-sgRBM10-rep3-E03_S48_umi_dedup_fine_grained_idx.csv,MUT-sgRBM10-rep3-E03_S48,MUT-sgRBM10,rep3,rep3,MUT-sgRBM10-rep3,27231537,25357531,891732,0.0327462970599125,2937096,0.176300098699618,550053,759063,13119698,13722543
U:/processed_data/reprocess_250221/nova240826/MUT-sgRBM5-rep1-E04_S49_umi_dedup_fine_grained_idx.csv,MUT-sgRBM5-rep1-E04_S49_umi_dedup_fine_grained_idx.csv,MUT-sgRBM5-rep1-E04_S49,MUT-sgRBM5,rep1,rep1,MUT-sgRBM5-rep1,28324773,26381167,933123,0.0329437062037531,2979653,0.178753575337869,545303,926975,13074976,13689401
U:/processed_data/reprocess_250221/nova240826/MUT-sgRBM5-rep2-E05_S50_umi_dedup_fine_grained_idx.csv,MUT-sgRBM5-rep2-E05_S50_umi_dedup_fine_grained_idx.csv,MUT-sgRBM5-rep2-E05_S50,MUT-sgRBM5,rep2,rep2,MUT-sgRBM5-rep2,18677098,17391298,620615,0.0332286632537881,1886887,0.176811179183796,315087,578368,8384800,8784876
U:/processed_data/reprocess_250221/nova240826/MUT-sgRBM5-rep3-E06_S51_umi_dedup_fine_grained_idx.csv,MUT-sgRBM5-rep3-E06_S51_umi_dedup_fine_grained_idx.csv,MUT-sgRBM5-rep3-E06_S51,MUT-sgRBM5,rep3,rep3,MUT-sgRBM5-rep3,20060700,18689473,665474,0.0331730198846501,2042271,0.177548208983199,338887,642052,9030645,9460357
U:/processed_data/reprocess_250221/nova240826/MUT-sgRUBP1-rep1-D10_S43_umi_dedup_fine_grained_idx.csv,MUT-sgRUBP1-rep1-D10_S43_umi_dedup_fine_grained_idx.csv,MUT-sgRUBP1-rep1-D10_S43,MUT-sgRUBP1,rep1,rep1,MUT-sgRUBP1-rep1,13834025,12891459,453518,0.03278279459521,1531885,0.179357955690342,227725,420361,6702899,7009052
U:/processed_data/reprocess_250221/nova240826/MUT-sgRUBP1-rep2-D11_S44_umi_dedup_fine_grained_idx.csv,MUT-sgRUBP1-rep2-D11_S44_umi_dedup_fine_grained_idx.csv,MUT-sgRUBP1-rep2-D11_S44,MUT-sgRUBP1,rep2,rep2,MUT-sgRUBP1-rep2,24544444,22855464,804445,0.0327750345454963,2657985,0.176441290521982,416086,733500,11862708,12406431
U:/processed_data/reprocess_250221/nova240826/MUT-sgRUBP1-rep3-D12_S45_umi_dedup_fine_grained_idx.csv,MUT-sgRUBP1-rep3-D12_S45_umi_dedup_fine_grained_idx.csv,MUT-sgRUBP1-rep3-D12_S45,MUT-sgRUBP1,rep3,rep3,MUT-sgRUBP1-rep3,16406642,15287684,537405,0.0327553316516567,1757826,0.174897252617525,265847,479890,7926805,8292795
U:/processed_data/reprocess_250221/nova240826/T47D-rep1-A01_S1_umi_dedup_fine_grained_idx.csv,T47D-rep1-A01_S1_umi_dedup_fine_grained_idx.csv,T47D-rep1-A01_S1,T47D,rep1,rep1,T47D-rep1,39656179,36478936,1372102,0.0345999547762784,3716332,0.185572321874101,576806,1527178,15229890,16309995
U:/processed_data/reprocess_250221/nova240826/T47D-rep2-A02_S2_umi_dedup_fine_grained_idx.csv,T47D-rep2-A02_S2_umi_dedup_fine_grained_idx.csv,T47D-rep2-A02_S2,T47D,rep2,rep2,T47D-rep2,43725782,40175955,1504173,0.0344001394874996,4067022,0.184085269537488,685720,1700248,16849016,18026120
U:/processed_data/reprocess_250221/nova240826/T47D-rep3-A03_S3_umi_dedup_fine_grained_idx.csv,T47D-rep3-A03_S3_umi_dedup_fine_grained_idx.csv,T47D-rep3-A03_S3,T47D,rep3,rep3,T47D-rep3,38486750,35396051,1330232,0.0345633757072239,3566308,0.184032621841547,557305,1465358,14769597,15812365
U:/processed_data/reprocess_250221/nova241106/splicelib_hek_dox_rbp1-rep1_S4_umi_dedup_fine_grained_idx.csv,splicelib_hek_dox_rbp1-rep1_S4_umi_dedup_fine_grained_idx.csv,splicelib_hek_dox_rbp1-rep1_S4,splicelib_hek_dox_rbp1,rep1,rep1,splicelib_hek_dox_rbp1-rep1,42184735,38692089,1420645,0.0336767553476394,4201026,0.188746882561931,884155,1165762,17265271,18056433
U:/processed_data/reprocess_250221/nova241106/splicelib_hek_dox_rbp1-rep2_S5_umi_dedup_fine_grained_idx.csv,splicelib_hek_dox_rbp1-rep2_S5_umi_dedup_fine_grained_idx.csv,splicelib_hek_dox_rbp1-rep2_S5,splicelib_hek_dox_rbp1,rep2,rep2,splicelib_hek_dox_rbp1-rep2,50819757,46415484,1709330,0.0336351470551109,4988994,0.186762306252592,1015337,1308980,20772651,21724073
U:/processed_data/reprocess_250221/nova241106/splicelib_hek_dox_rbp1-rep3_S6_umi_dedup_fine_grained_idx.csv,splicelib_hek_dox_rbp1-rep3_S6_umi_dedup_fine_grained_idx.csv,splicelib_hek_dox_rbp1-rep3_S6,splicelib_hek_dox_rbp1,rep3,rep3,splicelib_hek_dox_rbp1-rep3,42954758,39273071,1445537,0.0336525467097265,4232906,0.188315244495383,833154,1117957,17446154,18244860
